Career Years (Approx.),"Pay (2025, NZD)",Position (Grade)
0.0,78856,Assistant Lecturer (1.06)
0.5,82917,Assistant Lecturer (1.07)
1.0,86613,Assistant Lecturer (1.08)
1.5,92334,Lecturer (2.01)
2.5,96583,Lecturer (2.02)
3.5,100646,Lecturer (2.03)
4.5,104825,Lecturer (2.04)
5.0,107881,Lecturer (2.05)
6.0,111388,Lecturer (2.06)
7.5,117241,Senior Lecturer (4.01)
8.5,121262,Senior Lecturer (4.02)
9.5,125287,Senior Lecturer (4.03)
10.5,128946,Senior Lecturer (4.04)
11.5,132971,Senior Lecturer (4.05)
12.5,138824,Senior Lecturer Above Bar (5.01)
13.5,142849,Senior Lecturer Above Bar (5.02)
14.5,146869,Senior Lecturer Above Bar (5.03)
15.5,152541,Associate Professor (6.01)
16.5,156563,Associate Professor (6.02)
17.5,160586,Associate Professor (6.03)
18.5,164729,Professor (6.04)
19.5,172037,Professor (7.01)
21.0,182013,Professor (7.02)
22.5,190426,Professor (7.03)
24.0,198300,Professor (7.04)
26.0,205439,Professor (7.05)
28.0,213557,Professor (7.06)
30.0,219721,Professor (7.07)
32.0,231720,Distinguished Professor (8)
